model,scale,seed,fold,epoch
scalar_mlp,0.0,101,0,56
residual_adapter,0.1,101,0,57
residual_adapter,0.25,101,0,32
residual_adapter,0.5,101,0,33
uncertainty_gated_residual_adapter,0.1,101,0,71
uncertainty_gated_residual_adapter,0.25,101,0,43
uncertainty_gated_residual_adapter,0.5,101,0,36
scalar_mlp,0.0,202,0,53
residual_adapter,0.1,202,0,59
residual_adapter,0.25,202,0,39
residual_adapter,0.5,202,0,32
uncertainty_gated_residual_adapter,0.1,202,0,68
uncertainty_gated_residual_adapter,0.25,202,0,48
uncertainty_gated_residual_adapter,0.5,202,0,42
scalar_mlp,0.0,303,0,59
residual_adapter,0.1,303,0,65
residual_adapter,0.25,303,0,37
residual_adapter,0.5,303,0,34
uncertainty_gated_residual_adapter,0.1,303,0,72
uncertainty_gated_residual_adapter,0.25,303,0,53
uncertainty_gated_residual_adapter,0.5,303,0,47
scalar_mlp,0.0,101,1,98
residual_adapter,0.1,101,1,32
residual_adapter,0.25,101,1,1
residual_adapter,0.5,101,1,20
uncertainty_gated_residual_adapter,0.1,101,1,35
uncertainty_gated_residual_adapter,0.25,101,1,29
uncertainty_gated_residual_adapter,0.5,101,1,28
scalar_mlp,0.0,202,1,98
residual_adapter,0.1,202,1,45
residual_adapter,0.25,202,1,25
residual_adapter,0.5,202,1,19
uncertainty_gated_residual_adapter,0.1,202,1,47
uncertainty_gated_residual_adapter,0.25,202,1,29
uncertainty_gated_residual_adapter,0.5,202,1,25
scalar_mlp,0.0,303,1,81
residual_adapter,0.1,303,1,42
residual_adapter,0.25,303,1,23
residual_adapter,0.5,303,1,20
uncertainty_gated_residual_adapter,0.1,303,1,39
uncertainty_gated_residual_adapter,0.25,303,1,29
uncertainty_gated_residual_adapter,0.5,303,1,21
scalar_mlp,0.0,101,2,74
residual_adapter,0.1,101,2,60
residual_adapter,0.25,101,2,32
residual_adapter,0.5,101,2,31
uncertainty_gated_residual_adapter,0.1,101,2,49
uncertainty_gated_residual_adapter,0.25,101,2,51
uncertainty_gated_residual_adapter,0.5,101,2,43
scalar_mlp,0.0,202,2,76
residual_adapter,0.1,202,2,34
residual_adapter,0.25,202,2,35
residual_adapter,0.5,202,2,32
uncertainty_gated_residual_adapter,0.1,202,2,47
uncertainty_gated_residual_adapter,0.25,202,2,45
uncertainty_gated_residual_adapter,0.5,202,2,31
scalar_mlp,0.0,303,2,67
residual_adapter,0.1,303,2,37
residual_adapter,0.25,303,2,26
residual_adapter,0.5,303,2,25
uncertainty_gated_residual_adapter,0.1,303,2,57
uncertainty_gated_residual_adapter,0.25,303,2,34
uncertainty_gated_residual_adapter,0.5,303,2,40
scalar_mlp,0.0,101,3,49
residual_adapter,0.1,101,3,30
residual_adapter,0.25,101,3,27
residual_adapter,0.5,101,3,16
uncertainty_gated_residual_adapter,0.1,101,3,31
uncertainty_gated_residual_adapter,0.25,101,3,34
uncertainty_gated_residual_adapter,0.5,101,3,21
scalar_mlp,0.0,202,3,47
residual_adapter,0.1,202,3,33
residual_adapter,0.25,202,3,23
residual_adapter,0.5,202,3,23
uncertainty_gated_residual_adapter,0.1,202,3,41
uncertainty_gated_residual_adapter,0.25,202,3,26
uncertainty_gated_residual_adapter,0.5,202,3,29
scalar_mlp,0.0,303,3,51
residual_adapter,0.1,303,3,28
residual_adapter,0.25,303,3,24
residual_adapter,0.5,303,3,25
uncertainty_gated_residual_adapter,0.1,303,3,38
uncertainty_gated_residual_adapter,0.25,303,3,33
uncertainty_gated_residual_adapter,0.5,303,3,25
scalar_mlp,0.0,101,4,79
residual_adapter,0.1,101,4,48
residual_adapter,0.25,101,4,37
residual_adapter,0.5,101,4,30
uncertainty_gated_residual_adapter,0.1,101,4,57
uncertainty_gated_residual_adapter,0.25,101,4,44
uncertainty_gated_residual_adapter,0.5,101,4,25
scalar_mlp,0.0,202,4,91
residual_adapter,0.1,202,4,39
residual_adapter,0.25,202,4,36
residual_adapter,0.5,202,4,25
uncertainty_gated_residual_adapter,0.1,202,4,61
uncertainty_gated_residual_adapter,0.25,202,4,40
uncertainty_gated_residual_adapter,0.5,202,4,28
scalar_mlp,0.0,303,4,79
residual_adapter,0.1,303,4,49
residual_adapter,0.25,303,4,33
residual_adapter,0.5,303,4,26
uncertainty_gated_residual_adapter,0.1,303,4,49
uncertainty_gated_residual_adapter,0.25,303,4,31
uncertainty_gated_residual_adapter,0.5,303,4,29
